fid	nid	filename	filepath	filemime	filesize
239	160	thumbnail	sites/files/gainesfilm/images/1000102005.thumbnail.jpg	image/jpeg	2740
240	160	preview	sites/files/gainesfilm/images/1000102005.preview.jpg	image/jpeg	44438
241	161	_original	sites/files/gainesfilm/images/1000102006.jpg	image/jpeg	351407
242	161	thumbnail	sites/files/gainesfilm/images/1000102006.thumbnail.jpg	image/jpeg	2623
243	161	preview	sites/files/gainesfilm/images/1000102006.preview.jpg	image/jpeg	44060
244	162	_original	sites/files/gainesfilm/images/1000102007.jpg	image/jpeg	424976
245	162	thumbnail	sites/files/gainesfilm/images/1000102007.thumbnail.jpg	image/jpeg	2777
246	162	preview	sites/files/gainesfilm/images/1000102007.preview.jpg	image/jpeg	56597
247	163	_original	sites/files/gainesfilm/images/1000102008.jpg	image/jpeg	362321
248	163	thumbnail	sites/files/gainesfilm/images/1000102008.thumbnail.jpg	image/jpeg	2684
249	163	preview	sites/files/gainesfilm/images/1000102008.preview.jpg	image/jpeg	46254
250	164	_original	sites/files/gainesfilm/images/1000102009.jpg	image/jpeg	322592
251	164	thumbnail	sites/files/gainesfilm/images/1000102009.thumbnail.jpg	image/jpeg	2269
252	164	preview	sites/files/gainesfilm/images/1000102009.preview.jpg	image/jpeg	43642
253	165	_original	sites/files/gainesfilm/images/1000102010.jpg	image/jpeg	328038
254	165	thumbnail	sites/files/gainesfilm/images/1000102010.thumbnail.jpg	image/jpeg	2480
255	165	preview	sites/files/gainesfilm/images/1000102010.preview.jpg	image/jpeg	42132
256	166	_original	sites/files/gainesfilm/images/1000102011.jpg	image/jpeg	312620
257	166	thumbnail	sites/files/gainesfilm/images/1000102011.thumbnail.jpg	image/jpeg	2012
258	166	preview	sites/files/gainesfilm/images/1000102011.preview.jpg	image/jpeg	31764
259	167	_original	sites/files/gainesfilm/images/1000102012.jpg	image/jpeg	353353
260	167	thumbnail	sites/files/gainesfilm/images/1000102012.thumbnail.jpg	image/jpeg	2128
261	167	preview	sites/files/gainesfilm/images/1000102012.preview.jpg	image/jpeg	37346
262	168	_original	sites/files/gainesfilm/images/1000102013.jpg	image/jpeg	296874
263	168	thumbnail	sites/files/gainesfilm/images/1000102013.thumbnail.jpg	image/jpeg	2004
264	168	preview	sites/files/gainesfilm/images/1000102013.preview.jpg	image/jpeg	31864
265	169	_original	sites/files/gainesfilm/images/1000102014.jpg	image/jpeg	284178
266	169	thumbnail	sites/files/gainesfilm/images/1000102014.thumbnail.jpg	image/jpeg	2339
267	169	preview	sites/files/gainesfilm/images/1000102014.preview.jpg	image/jpeg	35006
268	170	_original	sites/files/gainesfilm/images/1000102015.jpg	image/jpeg	301152
269	170	thumbnail	sites/files/gainesfilm/images/1000102015.thumbnail.jpg	image/jpeg	2292
270	170	preview	sites/files/gainesfilm/images/1000102015.preview.jpg	image/jpeg	37741
271	171	_original	sites/files/gainesfilm/images/1000102016.jpg	image/jpeg	366693
272	171	thumbnail	sites/files/gainesfilm/images/1000102016.thumbnail.jpg	image/jpeg	2256
273	171	preview	sites/files/gainesfilm/images/1000102016.preview.jpg	image/jpeg	48154
274	172	_original	sites/files/gainesfilm/images/1000102017.jpg	image/jpeg	482955
275	172	thumbnail	sites/files/gainesfilm/images/1000102017.thumbnail.jpg	image/jpeg	2407
276	172	preview	sites/files/gainesfilm/images/1000102017.preview.jpg	image/jpeg	60236
277	173	_original	sites/files/gainesfilm/images/1000102018.jpg	image/jpeg	277069
278	173	thumbnail	sites/files/gainesfilm/images/1000102018.thumbnail.jpg	image/jpeg	1934
279	173	preview	sites/files/gainesfilm/images/1000102018.preview.jpg	image/jpeg	33097
280	174	_original	sites/files/gainesfilm/images/1000102019.jpg	image/jpeg	227039
281	174	thumbnail	sites/files/gainesfilm/images/1000102019.thumbnail.jpg	image/jpeg	1672
282	174	preview	sites/files/gainesfilm/images/1000102019.preview.jpg	image/jpeg	19957
283	175	_original	sites/files/gainesfilm/images/1000102020.jpg	image/jpeg	339905
284	175	thumbnail	sites/files/gainesfilm/images/1000102020.thumbnail.jpg	image/jpeg	2159
285	175	preview	sites/files/gainesfilm/images/1000102020.preview.jpg	image/jpeg	42316
286	176	_original	sites/files/gainesfilm/images/1000102021.jpg	image/jpeg	353313
287	176	thumbnail	sites/files/gainesfilm/images/1000102021.thumbnail.jpg	image/jpeg	2182
288	176	preview	sites/files/gainesfilm/images/1000102021.preview.jpg	image/jpeg	42027
289	177	_original	sites/files/gainesfilm/images/1000102022.jpg	image/jpeg	509419
290	177	thumbnail	sites/files/gainesfilm/images/1000102022.thumbnail.jpg	image/jpeg	2566
291	177	preview	sites/files/gainesfilm/images/1000102022.preview.jpg	image/jpeg	66691
292	178	_original	sites/files/gainesfilm/images/1000102023.jpg	image/jpeg	299601
293	178	thumbnail	sites/files/gainesfilm/images/1000102023.thumbnail.jpg	image/jpeg	1684
294	178	preview	sites/files/gainesfilm/images/1000102023.preview.jpg	image/jpeg	26804
295	179	_original	sites/files/gainesfilm/images/1000102024.jpg	image/jpeg	471596
296	179	thumbnail	sites/files/gainesfilm/images/1000102024.thumbnail.jpg	image/jpeg	2421
297	179	preview	sites/files/gainesfilm/images/1000102024.preview.jpg	image/jpeg	60425
298	180	_original	sites/files/gainesfilm/images/1000102025.jpg	image/jpeg	353193
299	180	thumbnail	sites/files/gainesfilm/images/1000102025.thumbnail.jpg	image/jpeg	2358
300	180	preview	sites/files/gainesfilm/images/1000102025.preview.jpg	image/jpeg	44864
301	181	_original	sites/files/gainesfilm/images/1000102026.jpg	image/jpeg	375029
302	181	thumbnail	sites/files/gainesfilm/images/1000102026.thumbnail.jpg	image/jpeg	2212
303	181	preview	sites/files/gainesfilm/images/1000102026.preview.jpg	image/jpeg	44485
304	182	_original	sites/files/gainesfilm/images/1000102027.jpg	image/jpeg	405000
305	182	thumbnail	sites/files/gainesfilm/images/1000102027.thumbnail.jpg	image/jpeg	2759
306	182	preview	sites/files/gainesfilm/images/1000102027.preview.jpg	image/jpeg	51472
307	183	_original	sites/files/gainesfilm/images/1000102028.jpg	image/jpeg	191900
308	183	thumbnail	sites/files/gainesfilm/images/1000102028.thumbnail.jpg	image/jpeg	1698
309	183	preview	sites/files/gainesfilm/images/1000102028.preview.jpg	image/jpeg	21613
310	184	_original	sites/files/gainesfilm/images/1000102029.jpg	image/jpeg	328679
311	184	thumbnail	sites/files/gainesfilm/images/1000102029.thumbnail.jpg	image/jpeg	2558
312	184	preview	sites/files/gainesfilm/images/1000102029.preview.jpg	image/jpeg	43205
313	185	_original	sites/files/gainesfilm/images/1000102030.jpg	image/jpeg	436080
314	185	thumbnail	sites/files/gainesfilm/images/1000102030.thumbnail.jpg	image/jpeg	3182
315	185	preview	sites/files/gainesfilm/images/1000102030.preview.jpg	image/jpeg	66208
316	186	_original	sites/files/gainesfilm/images/1000102031.jpg	image/jpeg	339961
317	186	thumbnail	sites/files/gainesfilm/images/1000102031.thumbnail.jpg	image/jpeg	2747
318	186	preview	sites/files/gainesfilm/images/1000102031.preview.jpg	image/jpeg	45087
319	187	_original	sites/files/gainesfilm/images/1000102032.jpg	image/jpeg	306462
320	187	thumbnail	sites/files/gainesfilm/images/1000102032.thumbnail.jpg	image/jpeg	2792
321	187	preview	sites/files/gainesfilm/images/1000102032.preview.jpg	image/jpeg	41236
322	188	_original	sites/files/gainesfilm/images/1000102033.jpg	image/jpeg	326953
323	188	thumbnail	sites/files/gainesfilm/images/1000102033.thumbnail.jpg	image/jpeg	3023
324	188	preview	sites/files/gainesfilm/images/1000102033.preview.jpg	image/jpeg	41244
325	189	_original	sites/files/gainesfilm/images/1000102034.jpg	image/jpeg	335553
326	189	thumbnail	sites/files/gainesfilm/images/1000102034.thumbnail.jpg	image/jpeg	2621
327	189	preview	sites/files/gainesfilm/images/1000102034.preview.jpg	image/jpeg	44072
328	190	_original	sites/files/gainesfilm/images/1000102035.jpg	image/jpeg	305221
329	190	thumbnail	sites/files/gainesfilm/images/1000102035.thumbnail.jpg	image/jpeg	2882
330	190	preview	sites/files/gainesfilm/images/1000102035.preview.jpg	image/jpeg	40076
331	191	_original	sites/files/gainesfilm/images/1000102036.jpg	image/jpeg	297237
332	191	thumbnail	sites/files/gainesfilm/images/1000102036.thumbnail.jpg	image/jpeg	2908
333	191	preview	sites/files/gainesfilm/images/1000102036.preview.jpg	image/jpeg	40537
